index,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
0,A. Morin,Agua Grande,2016,63.0,France,75,Blend,Sao Tome,118125.0
1,A. Morin,Kpime,2015,70.0,France,55,Blend,Togo,96250.0
2,A. Morin,Atsane,2015,70.0,France,60,Blend,Togo,105000.0
3,A. Morin,Akata,2015,70.0,France,70,Blend,Togo,122500.0
4,A. Morin,Quilla,2015,70.0,France,70,Blend,Peru,122500.0
5,A. Morin,Carenero,2014,70.0,France,55,Criollo,Venezuela,96250.0
6,A. Morin,Cuba,2014,70.0,France,70,Blend,Cuba,122500.0
7,A. Morin,Sur del Lago,2014,70.0,France,70,Criollo,Venezuela,122500.0
8,A. Morin,Puerto Cabello,2014,70.0,France,75,Criollo,Venezuela,131250.0
9,A. Morin,Pablino,2014,70.0,France,80,Blend,Peru,140000.0
10,A. Morin,Panama,2013,70.0,France,55,Blend,Panama,96250.0
11,A. Morin,Madagascar,2013,70.0,France,60,Criollo,Madagascar,105000.0
12,A. Morin,Brazil,2013,70.0,France,65,Blend,Brazil,113750.0
13,A. Morin,Equateur,2013,70.0,France,75,Blend,Ecuador,131250.0
14,A. Morin,Colombie,2013,70.0,France,55,Blend,Colombia,96250.0
15,A. Morin,Birmanie,2013,70.0,France,60,Blend,Burma,105000.0
16,A. Morin,Papua New Guinea,2013,70.0,France,65,Blend,Papua New Guinea,113750.0
17,A. Morin,Chuao,2013,70.0,France,80,Trinitario,Venezuela,140000.0
18,A. Morin,Piura,2013,70.0,France,65,Blend,Peru,113750.0
19,A. Morin,Chanchamayo Province,2013,70.0,France,70,Blend,Peru,122500.0
20,A. Morin,Chanchamayo Province,2013,63.0,France,80,Blend,Peru,126000.0
21,A. Morin,Bolivia,2012,70.0,France,70,Blend,Bolivia,122500.0
22,A. Morin,Peru,2012,63.0,France,75,Blend,Peru,118125.0
23,Acalli,"Chulucanas, El Platanal",2015,70.0,U.S.A.,75,Blend,Peru,131250.0
24,Acalli,"Tumbes, Norandino",2015,70.0,U.S.A.,75,Criollo,Peru,131250.0
25,Adi,Vanua Levu,2011,60.0,Fiji,55,Trinitario,Fiji,82500.0
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55.0,Ecuador,55,Forastero (Arriba),Ecuador,75625.0
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70.0,Ecuador,60,Forastero (Arriba),Ecuador,105000.0
31,Ah Cacao,Tabasco,2009,70.0,Mexico,60,Criollo,Mexico,105000.0
35,Alain Ducasse,Trinite,2014,65.0,France,55,Trinitario,Trinidad,89375.0
40,Alexandre,"Winak Coop, Napo",2017,70.0,Netherlands,70,Forastero (Nacional),Ecuador,122500.0
41,Alexandre,"La Dalia, Matagalpa",2017,70.0,Netherlands,70,"Criollo, Trinitario",Nicaragua,122500.0
42,Alexandre,Tien Giang,2017,70.0,Netherlands,70,Trinitario,Vietnam,122500.0
43,Alexandre,"Makwale Village, Kyela",2017,70.0,Netherlands,70,Forastero,Tanzania,122500.0
44,Altus aka Cao Artisan,Momotombo,2016,60.0,U.S.A.,55,Blend,Nicaragua,82500.0
45,Altus aka Cao Artisan,Acopagro,2016,60.0,U.S.A.,60,Blend,Peru,90000.0
46,Altus aka Cao Artisan,CIAAB Coop,2016,60.0,U.S.A.,50,Blend,Bolivia,75000.0
47,Altus aka Cao Artisan,Villa Andina,2016,60.0,U.S.A.,50,Blend,Peru,75000.0
48,Altus aka Cao Artisan,Gruppo Salinas,2016,60.0,U.S.A.,55,Blend,Ecuador,82500.0
49,Altus aka Cao Artisan,Sur del Lago,2013,60.0,U.S.A.,50,Blend,Venezuela,75000.0
50,Altus aka Cao Artisan,Conacado,2013,60.0,U.S.A.,60,Trinitario,Dominican Republic,90000.0
52,Altus aka Cao Artisan,Bolivia,2013,60.0,U.S.A.,60,Blend,Bolivia,90000.0
53,Altus aka Cao Artisan,Peru,2013,60.0,U.S.A.,65,Blend,Peru,97500.0
54,Amano,Morobe,2011,70.0,U.S.A.,80,Blend,Papua New Guinea,140000.0
55,Amano,Dos Rios,2010,70.0,U.S.A.,75,Blend,Dominican Republic,131250.0
56,Amano,Guayas,2010,70.0,U.S.A.,80,Blend,Ecuador,140000.0
57,Amano,Chuao,2010,70.0,U.S.A.,60,Trinitario,Venezuela,105000.0
58,Amano,Montanya,2009,70.0,U.S.A.,60,Blend,Venezuela,105000.0
59,Amano,"Bali, Jembrana",2008,70.0,U.S.A.,55,Blend,Indonesia,96250.0
60,Amano,Madagascar,2007,70.0,U.S.A.,70,Trinitario,Madagascar,122500.0
61,Amano,Cuyagua,2007,70.0,U.S.A.,60,Blend,Venezuela,105000.0
62,Amano,Ocumare,2007,70.0,U.S.A.,75,Criollo,Venezuela,131250.0
63,Amatller (Simon Coll),Ghana,2009,70.0,Spain,60,Forastero,Ghana,105000.0
64,Amatller (Simon Coll),Ecuador,2009,70.0,Spain,55,Blend,Ecuador,96250.0
69,Ambrosia,Belize,2015,64.0,Canada,60,Trinitario,Belize,96000.0
70,Ambrosia,Madagascar,2015,66.0,Canada,65,Trinitario,Madagascar,107250.0
72,Ambrosia,Papua New Guinea,2015,63.0,Canada,65,Blend,Papua New Guinea,102375.0
73,Ambrosia,Venezuela,2015,70.0,Canada,65,Blend,Venezuela,113750.0
74,Ambrosia,Peru,2015,68.0,Canada,70,Blend,Peru,119000.0
75,Amedei,"Piura, Blanco de Criollo",2012,70.0,Italy,75,Blend,Peru,131250.0
76,Amedei,Porcelana,2007,70.0,Italy,80,Criollo (Porcelana),Venezuela,140000.0
78,Amedei,Chuao,2007,70.0,Italy,100,Trinitario,Venezuela,175000.0
79,Amedei,Ecuador,2007,70.0,Italy,60,Trinitario,Ecuador,105000.0
80,Amedei,Jamaica,2007,70.0,Italy,60,Trinitario,Jamaica,105000.0
81,Amedei,Grenada,2007,70.0,Italy,70,Trinitario,Grenada,122500.0
82,Amedei,Venezuela,2007,70.0,Italy,75,Trinitario (85% Criollo),Venezuela,131250.0
83,Amedei,Madagascar,2007,70.0,Italy,80,Trinitario (85% Criollo),Madagascar,140000.0
84,Amedei,Trinidad,2007,70.0,Italy,70,Trinitario,Trinidad,122500.0
85,Amedei,Toscano Black,2007,63.0,Italy,70,Blend,Other,110250.0
86,Amedei,Toscano Black,2006,70.0,Italy,100,Blend,Other,175000.0
87,Amedei,Toscano Black,2006,66.0,Italy,80,Blend,Other,132000.0
90,AMMA,"Monte Alegre, 3 diff. plantations",2010,50.0,Brazil,75,Forastero (Parazinho),Brazil,93750.0
92,AMMA,"Monte Alegre, 3 diff. plantations",2010,60.0,Brazil,80,Forastero (Parazinho),Brazil,120000.0
99,Arete,San Juan,2016,70.0,U.S.A.,70,Trinitario,Trinidad,122500.0
100,Arete,Kokoa Kamili,2016,70.0,U.S.A.,75,Blend,Tanzania,131250.0
102,Arete,Hacienda Victoria,2016,70.0,U.S.A.,65,Blend,Ecuador,113750.0
103,Arete,Costa Esmeraldas,2016,70.0,U.S.A.,65,Blend,Ecuador,113750.0
104,Arete,Lachua,2016,70.0,U.S.A.,70,Blend,Guatemala,122500.0
105,Arete,Rugoso,2016,70.0,U.S.A.,75,Blend,Nicaragua,131250.0
106,Arete,"La Masica, FHIA",2016,70.0,U.S.A.,70,Blend,Honduras,122500.0
107,Arete,"Coto Brus, Terciopelo",2016,70.0,U.S.A.,80,Blend,Costa Rica,140000.0
108,Arete,Phantom,2016,70.0,U.S.A.,80,Forastero (Nacional),Peru,140000.0
109,Arete,Elvesia,2016,70.0,U.S.A.,75,Blend,Dominican Republic,131250.0
110,Arete,Matasawalevu,2016,70.0,U.S.A.,65,Blend,Fiji,113750.0
